@type	tech	fichier
costume	vestus l’vn d’incarnat auec or & argent; & l’autre de vert, blanc & argent: Toute leur liurée	merveilles17_i_pie-ballard2
animal	leurs cheuaux	merveilles17_i_pie-ballard2
costume	le premier vestu d’incarnat & blanc; et l’autre de jaune, blanc & noir, enrichis de broderie d’argent, leur liurée de mesme, & fort bien montez	merveilles17_i_pie-ballard2
costume	l’vn portoit le bleu & argent ; & l’autre le bleu, blanc, & noir auec or & argent : leurs plumes, & les harnois de leurs cheuaux estoient de la mesme couleur, & d’vne pareille richesse	merveilles17_i_pie-ballard2
costume	la couleur de chair & argent; & l’autre le gris de lin, blanc & argent: toute leur liurée estant la plus riche, & la mieux assortie du monde	merveilles17_i_pie-ballard2
costume	sa liurée la couleur de feu, blanc & argent : vn grand nombre de Diamants estoient attachez sur la magnifique broderie, dont sa cuirasse, & son bas de saye estoient couuerts; son casque, & le harnois de son cheual en estoient aussi enrichis.	merveilles17_i_pie-ballard2
machine_du_temps	VN char de dix-huit pieds de haut, de vingt-quatre de long, & de quinze de large; paroissoit en suite esclatant d’or & de diuerses couleurs	merveilles17_i_pie-ballard2
costume	riches habits	merveilles17_i_pie-ballard2
machine_du_temps	ce Char magnifique	merveilles17_i_pie-ballard2
machine_volante	Machine	merveilles17_i_pie-ballard2
costume	des vestes couleur de feu enrichie d’argent, & des coiffures de mesmes.	merveilles17_i_pie-ballard2
éclairage	vn nombre infiny de lumieres	merveilles17_i_pie-ballard2
animal	vn Cheual d’Espagne	merveilles17_i_pie-ballard2
costume	Son habit estoit vert en broderie d’argent, & de fleurs au naturel	merveilles17_i_pie-ballard2
animal	vn Elephant	merveilles17_i_pie-ballard2
animal	vn Chameau	merveilles17_i_pie-ballard2
animal	vn Ours	merveilles17_i_pie-ballard2
costume	vestus d’habits conformes à cette profession, mais fort riches	merveilles17_i_pie-ballard2
machine_volante	Machine fort ingenieuse en forme d’vne petite Montagne ou Roche ombragée de plusieurs arbres ; mais ce qui estoit plus surprenant, c’est qu’on la voyoit portée en l’air, sans que l’artifice qui la faisoit mouuoir se peust descouurir à la veuë.	merveilles17_i_pie-ballard2
costume	fort richement vestus	merveilles17_i_pie-ballard2
costume	tres bien vestus	merveilles17_i_pie-ballard2
construction	vn petit Theatre	merveilles17_i_pie-ballard2
construction	ces hautes palissades	merveilles17_i_pie-ballard2
éclairage	vn nombre infiny de Chandeliers peints de vert & d’argent, portant chacun vingt-quatre bougies, & deux cent flambeaux de cire blanche	merveilles17_i_pie-ballard2
costume	leurs Casques couuerts de plumes de differentes couleurs, & leurs habits de la Course	merveilles17_i_pie-ballard2
construction	ce rond	merveilles17_i_pie-ballard2
construction	vn autre rond enuironné de palissades	merveilles17_i_pie-ballard2
construction	le Palais d’Alcine	merveilles17_i_pie-ballard2
construction	couurir de toilles, en si peu de temps qu’on auoit lieu de s’en estonner, tout ce rond d’vne espece de Dome, pour deffendre contre le vent	merveilles17_i_pie-ballard2
éclairage	le grand nombre de Flambeaux & de Bougies qui deuoient esclairer	merveilles17_i_pie-ballard2
construction	le Theatre	merveilles17_i_pie-ballard2
decor	la decoration estoit fort agreable	merveilles17_i_pie-ballard2
animal	vn Ours	merveilles17_i_pie-ballard2
animal	l’Ours	merveilles17_i_pie-ballard2
animal	l’Ours	merveilles17_i_pie-ballard2
animal	vn autre Ours	merveilles17_i_pie-ballard2
animal	vn des Ours	merveilles17_i_pie-ballard2
trappe	de dessous le Theatre	merveilles17_i_pie-ballard2
machine_musicale	la machine d’vn grand arbre chargé de seize Faunes, dont les huit joüerent de la Fluste, & les autres du Violon auec vn concert le plus agreable du monde	merveilles17_i_pie-ballard2
construction	le Palais d’Alcine	merveilles17_i_pie-ballard2
construction	vn Rocher	merveilles17_i_pie-ballard2
décor	d’vne Isle couuerte de diuers animaux	merveilles17_i_pie-ballard2
décor	Deux autres Isles plus longues, mais d’vne moindre largeur, paroissoient aux deux costez de la premiere	merveilles17_i_pie-ballard2
éclairage	si fort esclairées, que ces lumieres faisoient naistre vn nouueau jour dans l’obscurité de la nuit	merveilles17_i_pie-ballard2
musique	l’vne des deux Isles qui paroissoient aux costez de la premiere, fut toute couuerte de Violons fort bien vestus	merveilles17_i_pie-ballard2
décor	L’autre qui luy estoit opposée	merveilles17_i_pie-ballard2
construction	le Rocher	merveilles17_i_pie-ballard2
machine_aquatique	vn Monstre-Marin d’vne grandeur prodigieuse	merveilles17_i_pie-ballard2
machine_aquatique	de grandes Baleines	merveilles17_i_pie-ballard2
construction	Rondeau	merveilles17_i_pie-ballard2
bruitage	vn coup de Tonnerre	merveilles17_i_pie-ballard2
éclairage	plusieurs esclairs	merveilles17_i_pie-ballard2
feu_d_artifice	Feu d’artifice	merveilles17_i_pie-ballard2
machine_volante	fusées volantes	merveilles17_i_pie-ballard2
feu_d_artifice	Feu d’Artifice	merveilles17_i_pie-ballard2
bruitage	vn bruit & vne longueur extraordinaires	merveilles17_i_pie-ballard2
construction	vn des theatres doubles de son Sallon	merveilles17_i_pie-ballard2
construction	De hautes toilles, des bestimens de bois faits	merveilles17_i_pie1673
éclairage	nombre prodigieux de flambeaux de cire blanche	merveilles17_i_pie1673
éclairage	quatre mille bougies	merveilles17_i_pie1673
décor	un Rond	merveilles17_i_pie1673
construction	hautes palissages	merveilles17_i_pie1673
construction	quatre Portique	merveilles17_i_pie1673
costume	vestu d’un habit à l’antique	merveilles17_i_pie1673
costume	armé à la Grecque	merveilles17_i_pie1673
animal	cheval blanc, bardé de mesme	merveilles17_i_pie1673
animal	un des plus beaux chevaux du monde	merveilles17_i_pie1673
costume	armée à la façon des Grecs	merveilles17_i_pie1673
costume	son Casque tout couvert de plumes couleur de feu	merveilles17_i_pie1673
costume	un habit de cette couleur en broderie d’or & de geais	merveilles17_i_pie1673
machine_du_temps	UN Char	merveilles17_i_pie1673
éclairage	brillante de lumiéres	merveilles17_i_pie1673
machine_du_temps	Char	merveilles17_i_pie1673
animal	Quatre chevaux d’une taille et d’une beauté peu communes, couverts de grandes housses semées de Soleils d’or, & attellez de front	merveilles17_i_pie1673
machine_du_temps	Machine	merveilles17_i_pie1673
machine_du_temps	Char	merveilles17_i_pie1673
costume	des vestes, couleur de feu, enrichies d’argent, & des coëffures de mesme	merveilles17_i_pie1673
machine_terrestre	Char	merveilles17_i_pie1673
éclairage	un nombre infini de lumiéres	merveilles17_i_pie1673
animal	un cheval d’Espagne	merveilles17_i_pie1673
animal	un Eléphant, couvert d’une riche housse	merveilles17_i_pie1673
animal	un Chameau.	merveilles17_i_pie1673
animal	un Ours	merveilles17_i_pie1673
machine_volante	Machine	merveilles17_i_pie1673
construction	un petit Theatre	merveilles17_i_pie1673
construction	hautes palissades	merveilles17_i_pie1673
éclairage	un nombre infini de Chandeliers peints de vert & d’argent, portans chacun vingt-quatre bougies	merveilles17_i_pie1673
costume	vestuës en Masques	merveilles17_i_pie1673
costume	Casques couverts de plumes de differentes couleurs, & leurs habits de la Course	merveilles17_i_pie1673
construction	vn autre rond environné de palissades	merveilles17_i_pie1673
construction	Palais d’Alcine	merveilles17_i_pie1673
construction	toilles, en si peu de temps qu’on avoit lieu de s’en étonner, tout ce rond, d’une espece de dome	merveilles17_i_pie1673
éclairage	grand nombre de Flambeaux & de Bougies	merveilles17_i_pie1673
construction	le Theatre	merveilles17_i_pie1673
animal	un Ours	merveilles17_i_pie1673
animal	l’Ours	merveilles17_i_pie1673
animal	l’Ours	merveilles17_i_pie1673
animal	un autre Ours	merveilles17_i_pie1673
animal	un des Ours	merveilles17_i_pie1673
machine_musicale	machine	merveilles17_i_pie1673
construction	le grand Rondeau	merveilles17_i_pie1673
construction	le Palais d’Alcine	merveilles17_i_pie1673
construction	ce Rondeau	merveilles17_i_pie1673
construction	un Rocher	merveilles17_i_pie1673
décor	Deux autres Isles plus longues	merveilles17_i_pie1673
construction	Rondeau	merveilles17_i_pie1673
éclairage	ces lumiéres	merveilles17_i_pie1673
décor	l’une des deux Isles qui paroissoient aux costez de la premiére	merveilles17_i_pie1673
construction	Rocher	merveilles17_i_pie1673
machine_aquatique	Monstre Marin d’une grandeur prodigieuse.	merveilles17_i_pie1673
machine_aquatique	grandes Baleines	merveilles17_i_pie1673
construction	Rondeau	merveilles17_i_pie1673
éclairage	deux flambeaux	merveilles17_i_pie1673
bruitage	un coup de Tonnerre	merveilles17_i_pie1673
éclairage	plusieurs éclairs	merveilles17_i_pie1673
feu_d_artifice	Feu d’artifice	merveilles17_i_pie1673
	Ballet	merveilles17_i_pie1673
construction	Palais d’AIcine	merveilles17_i_pie1673
machine_volante	nombre des fusées volantes	merveilles17_i_pie1673
feu_d_artifice	Feu d’artifice	merveilles17_i_pie1673
construction	de hautes toilles, des bastimens de bois	merveilles17_i_pieguignard1668_001
éclairage	vn nombre prodigieux de flambeaux de cire blanche	merveilles17_i_pieguignard1668_001
éclairage	quatre mille bougies	merveilles17_i_pieguignard1668_001
	Ballets	merveilles17_i_pieguignard1668_001
construction	vn Rond	merveilles17_i_pieguignard1668_001
construction	hautes palissades	merveilles17_i_pieguignard1668_001
construction	quatre Portiques	merveilles17_i_pieguignard1668_001
costume	vestu d’vn habit à l’antique	merveilles17_i_pieguignard1668_001
costume	fort richement habillé de couleur de feu	merveilles17_i_pieguignard1668_001
costume	habillé de sa livrée de toile d’argent enrichie d’or, avec des plumes incarnates & noires, et les rubans de mesme	merveilles17_i_pieguignard1668_001
costume	vestu de couleur de feu, argent & noir, & le reste de la livrée semblable	merveilles17_i_pieguignard1668_001
costume	habillez de satin couleur de feu, & argent ; leurs plumes de la mesme livrée, & les caparaçons de leurs chevaux couverts d’vne pareille broderie, avec des soleils d’or fort éclattans aux banderoles des Trõpettes, & les couvertures des tymbales	merveilles17_i_pieguignard1668_001
costume	armé à la Grecque	merveilles17_i_pieguignard1668_001
animal	vn des plus beaux chevaux du monde	merveilles17_i_pieguignard1668_001
costume	armée à la façon des Grecs	merveilles17_i_pieguignard1668_001
costume	portant la couleur de feu & le noir, sous vne riche broderie d’argent ; & ses plumes	merveilles17_i_pieguignard1668_001
costume	vn habit de cette couleur en broderie d’or, & de geaix ; ses plumes, son cheval, & sa lance assortissoient à sa livrée	merveilles17_i_pieguignard1668_001
animal	vn cheval blanc bardé de la mesme couleur	merveilles17_i_pieguignard1668_001
costume	vestus, l’vn d’incarnat avec or & argent ; & l’autre de vert, blanc & argent	merveilles17_i_pieguignard1668_001
animal	leurs cheuaux	merveilles17_i_pieguignard1668_001
costume	vestu d’incarnat & blanc ; et l’autre de iaune, blanc & noir, enrichis de broderie d’argent, leur livrée de mesme	merveilles17_i_pieguignard1668_001
costume	l’vn portoit le bleu & argent, & l’autre le bleu, blanc & noir, avec or & argent ; leurs plumes	merveilles17_i_pieguignard1668_001
costume	la couleur de chair & argent, & l’autre gris de lin, blanc, & argent : toute leur livrée estant plus riche, & la mieux assortie du monde	merveilles17_i_pieguignard1668_001
costume	sa livrée la couleur de feu, blanc, & argent : vn grand nombre de diamans estoient attachez sur la magnifique	merveilles17_i_pieguignard1668_001
costume	Broderie, dont sa cuirasse & son bas de soye estoient couverts ; son casque & le harnois de son cheval en estant aussi enrichis	merveilles17_i_pieguignard1668_001
machine_du_temps	VN Char	merveilles17_i_pieguignard1668_001
machine_du_temps	Char	merveilles17_i_pieguignard1668_001
costume	riches habits	merveilles17_i_pieguignard1668_001
machine_du_temps	ce Char	merveilles17_i_pieguignard1668_001
animal	Quatre chevaux d’vne taille & d’vne beauté peu communes	merveilles17_i_pieguignard1668_001
machine_du_temps	Machine	merveilles17_i_pieguignard1668_001
machine_du_temps	ce Char	merveilles17_i_pieguignard1668_001
costume	fort proprement vestus de leurs livrées, avec quantité de plumes	merveilles17_i_pieguignard1668_001
costume	des vestes couleur de feu enrichies d’argent, & des coiffures de mesme	merveilles17_i_pieguignard1668_001
machine_du_temps	Char	merveilles17_i_pieguignard1668_001
éclairage	vn nombre infiny de lumieres	merveilles17_i_pieguignard1668_001
animal	vn cheval d’Espagne	merveilles17_i_pieguignard1668_001
costume	son habit estoit verd en broderie d’argent, & de fleurs au naturel	merveilles17_i_pieguignard1668_001
animal	vn Elephant	merveilles17_i_pieguignard1668_001
animal	vn Chameau.	merveilles17_i_pieguignard1668_001
animal	vn Ours	merveilles17_i_pieguignard1668_001
machine_volante	vne Machine	merveilles17_i_pieguignard1668_001
construction	vn petit Theatre	merveilles17_i_pieguignard1668_001
construction	hautes palissades	merveilles17_i_pieguignard1668_001
éclairage	vn nombre infiny de chãdeliers peints de vert & d’argent, portant chacun vingt-quatre bougies, & deux cens flambeaux de cire blanche, tenus par autant de personnes vestus en Masques	merveilles17_i_pieguignard1668_001
costume	Casques couverts de de plumes de differentes couleurs, & leurs habits de la Course	merveilles17_i_pieguignard1668_001
construction	le Palais d’Alcine	merveilles17_i_pieguignard1668_001
décor	l’Isle flotante	merveilles17_i_pieguignard1668_001
construction	toilles	merveilles17_i_pieguignard1668_001
construction	tout ce rond d’vne espece de Dome	merveilles17_i_pieguignard1668_001
éclairage	le grãd nõbre de Flambeaux & de Bougies	merveilles17_i_pieguignard1668_001
construction	le Theatre	merveilles17_i_pieguignard1668_001
	Commedie	merveilles17_i_pieguignard1668_001
	courses de Chars	merveilles17_i_pieguignard1668_001
	la Comedie	merveilles17_i_pieguignard1668_001
	le Theatre la machine	merveilles17_i_pieguignard1668_001
	vn concert	merveilles17_i_pieguignard1668_001
construction	le grand Rondeau	merveilles17_i_pieguignard1668_001
construction	le Palais d’Alcine	merveilles17_i_pieguignard1668_001
construction	ce Rondeau	merveilles17_i_pieguignard1668_001
construction	vn rocher	merveilles17_i_pieguignard1668_001
décor	vne Isle	merveilles17_i_pieguignard1668_001
animal	divers animaux	merveilles17_i_pieguignard1668_001
décor	Deux autres Isles	merveilles17_i_pieguignard1668_001
construction	Rondeau	merveilles17_i_pieguignard1668_001
éclairage	ces lumieres	merveilles17_i_pieguignard1668_001
décor	vne des deux Isles qui paroissoient aux costez de la premiere	merveilles17_i_pieguignard1668_001
construction	le rocher	merveilles17_i_pieguignard1668_001
machine_aquatique	Monstre Marin d’vne grandeur prodigieuse.	merveilles17_i_pieguignard1668_001
machine_aquatique	grãdes Baleines	merveilles17_i_pieguignard1668_001
construction	Rondeau	merveilles17_i_pieguignard1668_001
éclairage	deux flambeaux	merveilles17_i_pieguignard1668_001
bruitage	vn coup de tonnerre	merveilles17_i_pieguignard1668_001
éclairage	plusieurs éclairs	merveilles17_i_pieguignard1668_001
construction	Palais	merveilles17_i_pieguignard1668_001
feu_d_artifice	vn feu d’artifice	merveilles17_i_pieguignard1668_001
construction	Palais d’Alcine	merveilles17_i_pieguignard1668_001
machine_volante	fusées volantes	merveilles17_i_pieguignard1668_001
feu_d_artifice	Feu d’artifice	merveilles17_i_pieguignard1668_001
bruitage	vn bruit & vne lõgueur extraordinaire	merveilles17_i_pieguignard1668_001
construction	vn de ces Theatres doubles	merveilles17_i_pieguignard1668_001
construction	Le Théatre	merveilles17_ms_amours-philidor
construction	Palais d’Alcine	merveilles17_ms_pie-bizincourt
musique	musique	merveilles17_ms_pie-bizincourt
machine_terrestre	vn Char	merveilles17_ms_pie-bizincourt
construction	vn des quatre Portiques	merveilles17_ms_pie-bizincourt
éclairage	nombre infiny de lumieres	merveilles17_ms_pie-bizincourt
machine_volante	vne Machine portée en l’Air	merveilles17_ms_pie-bizincourt
musique	vn concert de Musique	merveilles17_ms_pie-bizincourt
costume	armez à la Grecques	merveilles17_ms_pie-bizincourt
construction	son Palais	merveilles17_ms_pie-bizincourt
décor	deux Îles sutucés aux deux cotez du Palais d’Alcine	merveilles17_ms_pie-bizincourt
construction	le Palais	merveilles17_ms_pie-bizincourt
éclairage	deux flambeaux	merveilles17_ms_pie-bizincourt
construction	Palais	merveilles17_ms_pie-bizincourt
construction	Palais	merveilles17_ms_pie-bizincourt
feu_d_artifice	feu d’artifice	merveilles17_ms_pie-bizincourt
construction	De hautes toiles, des bastimens de bois	merveilles17_ms_piephilidor_001
éclairage	vn nombre prodigieux de flambeaux de cire blanche	merveilles17_ms_piephilidor_001
éclairage	quatre mille bougies	merveilles17_ms_piephilidor_001
construction	hautes palissades	merveilles17_ms_piephilidor_001
construction	quatre portiques	merveilles17_ms_piephilidor_001
costume	vestu d’vn habit à l’antique	merveilles17_ms_piephilidor_001
costume	armé à la Grecque	merveilles17_ms_piephilidor_001
costume	armée à la façon des Grecs	merveilles17_ms_piephilidor_001
machine_terrestre	Vn char	merveilles17_ms_piephilidor_001
éclairage	brillante de lumieres	merveilles17_ms_piephilidor_001
machine_du_temps	char	merveilles17_ms_piephilidor_001
machine__du_temps	Char	merveilles17_ms_piephilidor_001
animal	Quatre cheuaux d’vne taille, et d’vne beauté peu communes	merveilles17_ms_piephilidor_001
machine_du_temps	Machine	merveilles17_ms_piephilidor_001
costume	habillez fort superbement	merveilles17_ms_piephilidor_001
machine_du_temps	char	merveilles17_ms_piephilidor_001
costume	vetus de leurs liurées, auec quantité de plumes	merveilles17_ms_piephilidor_001
machine_du_temps	char	merveilles17_ms_piephilidor_001
éclairage	vn nombre Infiny de lumieres	merveilles17_ms_piephilidor_001
animal	un cheual d’Espagne	merveilles17_ms_piephilidor_001
costume	Son habit estoit vert en broderie d’argent, et de fleurs au naturel	merveilles17_ms_piephilidor_001
animal	un Elephant	merveilles17_ms_piephilidor_001
animal	vn Chameau	merveilles17_ms_piephilidor_001
animal	vn Ours	merveilles17_ms_piephilidor_001
costume	Vêtus d’habits conformes à cette profession, mais fort riches	merveilles17_ms_piephilidor_001
machine_terrestre	vne machine	merveilles17_ms_piephilidor_001
construction	Theatre	merveilles17_ms_piephilidor_001
construction	hautes palissades	merveilles17_ms_piephilidor_001
éclairage	Vn nombre infiny de chandeliers peints de vert, et d’argent, portant chacun vingt quatre bougies, et deux cens flambeaux de cire blanche	merveilles17_ms_piephilidor_001
costume	auec leurs casques couuerts de plumes de differentes couleurs, et leurs habits de la Course	merveilles17_ms_piephilidor_001
construction	Rondeau	merveilles17_ms_piephilidor_001
construction	ce Rondeau	merveilles17_ms_piephilidor_001
construction	vn Rocher	merveilles17_ms_piephilidor_001
décor	vne Isle	merveilles17_ms_piephilidor_001
animal	couuerte de diuers animaux, comme s’ils eussent voulu en défendre l’entrée.	merveilles17_ms_piephilidor_001
décor	Deux autres Isles plus longues	merveilles17_ms_piephilidor_001
construction	Rondeau	merveilles17_ms_piephilidor_001
éclairage	ces lumieres	merveilles17_ms_piephilidor_001
décor	vne des deux Isles qui paroissoient aux costez de la premiere	merveilles17_ms_piephilidor_001
décor	L'autre qui estoit opposée	merveilles17_ms_piephilidor_001
construction	le Rocher	merveilles17_ms_piephilidor_001
machine_aquatique	grandes Balaines	merveilles17_ms_piephilidor_001
construction	Rondeau	merveilles17_ms_piephilidor_001
construction	Palais d’Alcine	merveilles17_ms_piephilidor_001
construction	Palais d’Alcine	merveilles17_ms_piephilidor_001
machine_volante	le nombre des fusées volantes	merveilles17_ms_piephilidor_001
feu_d_artifice	feu d’artifice	merveilles17_ms_piephilidor_001
bruitage	vn bruit, et vne longueur extraordinaire	merveilles17_ms_piephilidor_001
construction	vn de ces Théatres doubles	merveilles17_ms_piephilidor_001
construction	Théâtre	merveilles17_p_gazette16640216
décor	la premiére décoration du Théatre; & se change en vne Mer	merveilles17_p_gazette16640216
costume	déguisez en Rameurs	merveilles17_p_gazette16640216
costume	Iardiniers	merveilles17_p_gazette16640216
costume	déguisez, aussi	merveilles17_p_gazette16640216
décor	Palais enchanté d’Armide	merveilles17_p_gazette16640216
costume	l’habit de Bergers	merveilles17_p_gazette16640216
décor	Palais	merveilles17_p_gazette16640216
machine_aquatique	Machine	merveilles17_p_gazette16640216
machine_aquatique	Conque marine	merveilles17_p_gazette16640216
costume	Nymphes	merveilles17_p_gazette16640216
éclairage	Flambeaux	merveilles17_p_gazette16640216
costume	Grecs	merveilles17_p_gazette16640216
éclairage	flambeaux	merveilles17_p_gazette16640216
éclairage	infinité de cierges	merveilles17_p_gazette16640216
éclairage	plus de deux mille lumiéres	merveilles17_p_gazette16640510
feu_d_artifice	feu d’Artifice	merveilles17_p_gazette16640510
musique	Musique	merveilles17_p_gazette16640528
construction	grands Portiques de verdure	merveilles17_p_gazette16640528
construction	vn Rond	merveilles17_p_gazette16640528
construction	hauts Dais	merveilles17_p_gazette16640528
construction	Echafaux	merveilles17_p_gazette16640528
costume	richement vestus à la Gréque	merveilles17_p_gazette16640528
machine_du_temps	vn Char de Triomphe	merveilles17_p_gazette16640528
machine_du_temps	roulante Machine	merveilles17_p_gazette16640528
animal	quatre grands chevaux qui représentoyent les quatre Saisons, par les différantes couleurs de leur poil.	merveilles17_p_gazette16640528
machine_du_temps	le Char	merveilles17_p_gazette16640528
éclairage	nombre infini de flambeaux sur des chandeliers suspendus	merveilles17_p_gazette16640528
animal	vn cheval de Naples	merveilles17_p_gazette16640528
animal	vn Eléphant d’Ethiopie	merveilles17_p_gazette16640528
animal	vn Chameau d’Asie	merveilles17_p_gazette16640528
animal	vn Ours d’Hybernie	merveilles17_p_gazette16640528
animal	les 4 Animaux	merveilles17_p_gazette16640528
machine-terrestre	vne Machine	merveilles17_p_gazette16640528
machine-terrestre	Machine	merveilles17_p_gazette16640528
éclairage	des flambeaux	merveilles17_p_gazette16640528
machine	les Machines	merveilles17_p_gazette16640528
construction	Echafaut	merveilles17_p_gazette16640528
éclairage	72 flambeaux	merveilles17_p_gazette16640528
construction	Echafaux, vis à vis vn autre Portique fermé par vn Rideau	merveilles17_p_gazette16640528
éclairage	quantité de Lustres	merveilles17_p_gazette16640528
construction	vn Rondeau	merveilles17_p_gazette16640528
construction	vn Rocher	merveilles17_p_gazette16640528
construction	vn autre de huit pieds de large, & d’autant de haut	merveilles17_p_gazette16640528
décor	cette Isle	merveilles17_p_gazette16640528
construction	encor deux	merveilles17_p_gazette16640528
construction	Ces Rochers	merveilles17_p_gazette16640528
costume	vestus de tres magnifiques habits	merveilles17_p_gazette16640528
construction	Rondeau	merveilles17_p_gazette16640528
éclairage	prodigieuse quantité de flambeaux d’autres lumiéres	merveilles17_p_gazette16640528
construction	Amphitéatres	merveilles17_p_gazette16640528
décor	l’Isle	merveilles17_p_gazette16640528
construction	Rochers	merveilles17_p_gazette16640528
construction	Rondeau	merveilles17_p_gazette16640528
construction	Palais	merveilles17_p_gazette16640528
trappe	artifice	merveilles17_p_gazette16640528
construction	Rocher	merveilles17_p_gazette16640528
construction	Palais	merveilles17_p_gazette16640528
construction	Rocher	merveilles17_p_gazette16640528
machine	Machines	merveilles17_p_gazette16640528
construction	les Rochers	merveilles17_p_gazette16640528
éclairage	deux flambeaux	merveilles17_p_gazette16640528
costume	déguisée en	merveilles17_p_gazette16640528
construction	Palais	merveilles17_p_gazette16640528
éclairage	vn flambeau	merveilles17_p_gazette16640528
feux-d'artifice	Feu d’artifice	merveilles17_p_gazette16640528
costume	Les habits êtoient admirables	merveilles17_p_loret16640216
costume	habits fort galans	merveilles17_p_loret16640510
costume	D’argent, de soye et d’or, brillans	merveilles17_p_loret16640510
éclairage	deux mille bougies	merveilles17_p_loret16640510
éclairage	Feux	merveilles17_p_loret16640510
feu_d_artifice	Mille feux	merveilles17_p_loret16640510
machine	Machines surprenantes	merveilles17_p_loret16640510
costume	Vêtu d’un fort beau cramoisy	merveilles17_p_loret16640802
costume	brillante Livrée	merveilles17_p_loret16640802
éclairage	flambeaux	merveilles17_p_loret16640802
décor	Mille beaux rubans	merveilles17_p_loret16640809
