date_code	document_code	anchor	occurrence
1662	merveilles17_imp_ctb-perrault1670	date3	l’année 1662
1662-06-05	merveilles17_imp_ctb-perrault1670	date4	cinquiéme jour du mois Iuin
1662-06-06	merveilles17_imp_ctb-perrault1670	date5	le lendemain
1674	merveilles17_imp_dv-felibien1676	date4	année 1674
1674-07-04	merveilles17_imp_dv-felibien1676	date5	le Mercredi quatriéme jour de juillet
1674-07-11	merveilles17_imp_dv-felibien1676	date6	Le Mercredi onziéme juillet
1674-07-19	merveilles17_imp_dv-felibien1676	date7	LE dix-neuviéme du mesme mois
1674-07-28	merveilles17_imp_dv-felibien1676	date8	LE Samedy vingt-huitiéme de juillet
1674-08-18	merveilles17_imp_dv-felibien1676	date9	LE Samedi dix-huitiéme d’Aoust
1674-08-31	merveilles17_imp_dv-felibien1676	date10	le dernier jour d’aoust
1676	merveilles17_imp_dv-felibien1676	date11	M. DC. LXXVI
1664-02-09	merveilles17_imp_gazette16640216	date3	9 du Courant
1664-02-13	merveilles17_imp_gazette16640216	date4	Le mesme jour 13
1664-02-16	merveilles17_imp_gazette16640216	date5	16 Février 1664
1664-05-04	merveilles17_imp_gazette16640510	date3	Le 4
1664-05-05	merveilles17_imp_gazette16640510	date4	le 5
1664-05-07	merveilles17_imp_gazette16640510	date5	le 7
1664-05-08	merveilles17_imp_gazette16640510	date6	Le 8
1664-05-10	merveilles17_imp_gazette16640510	date7	10 May 1664
1664-05-07	merveilles17_imp_gazette16640528	date3	7 de ce mois
1664-05-08	merveilles17_imp_gazette16640528	date4	Le lendemain
1664-05-09	merveilles17_imp_gazette16640528	date5	3
1664-05-28	merveilles17_imp_gazette16640528	date6	28 May 1664
1668-07-18	merveilles17_imp_gdv-felibien1668	date4	dix-huitième juillet mil six cens soixante-huit
1668-07-18	merveilles17_imp_gdv-felibien1668	date5	Mercredy 18. jour de Juillet
1664-02-02	merveilles17_imp_loret16640202	date3	[samedi] deux Février
1664-01-28	merveilles17_imp_loret16640202	date4	Lundy dernier
1664-01-29	merveilles17_imp_loret16640202	date5	Mardy
1664-01-31	merveilles17_imp_loret16640202	date6	Jeudy
1664-02-16	merveilles17_imp_loret16640216	date3	Du [samedi] seize Février.
1664-02-13	merveilles17_imp_loret16640216	date4	Mercredy
1664-02-16	merveilles17_imp_loret16640216	date5	second des mois, le jour seize
1664-05-10	merveilles17_imp_loret16640510	date3	[samedi] dixiéme May
1664-05-10	merveilles17_imp_loret16640510	date4	Dix de May
1664-05-17	merveilles17_imp_loret16640517	date3	[samedi] dix-septiéme May
1664-08-02	merveilles17_imp_loret16640802	date3	[samedi] deuxième Aoust
1664-07-28	merveilles17_imp_loret16640802	date4	Lundi dernier
1664-07-29	merveilles17_imp_loret16640802	date5	Mardy
1664-07-30	merveilles17_imp_loret16640802	date6	Mercredy
1664-07-31	merveilles17_imp_loret16640802	date7	Le lendemain
1664-07-31	merveilles17_imp_loret16640802	date8	la suivante soirée
1664-07-31	merveilles17_imp_loret16640802	date9	Jeudy
1664-08-09	merveilles17_imp_loret16640809	date3	[samedi] neuviéme Aoust
1664-08-01	merveilles17_imp_loret16640809	date4	Vendredy dernier
1664-08-02	merveilles17_imp_loret16640809	date5	Le lendemain, ou jour d’aprés
1664-08-03	merveilles17_imp_loret16640809	date6	Dimanche
1664-08-04	merveilles17_imp_loret16640809	date7	Le lendemain
1664-08-05	merveilles17_imp_loret16640809	date8	Mardy
1664-08-05	merveilles17_imp_loret16640809	date9	Mardy
	merveilles17_imp_ormessonmai1664	date3	Ce mesme jour
	merveilles17_imp_ormessonmai1664	date4	le mercredy
	merveilles17_imp_ormessonmai1664	date5	dimanche
1664-05-06	merveilles17_imp_pie-ballard1	date3	6. May. 1664
1664	merveilles17_imp_pie-ballard1	date4	M. DC. LXIV
1664-05-07	merveilles17_imp_pie-ballard2	date3	7. May 1664
1664-05-05	merveilles17_imp_pie-ballard2	date4	le cinquiesme de May
1664-05-14	merveilles17_imp_pie-ballard2	date5	quatorziesme
1664-05-07	merveilles17_imp_pie-ballard2	date6	le septiesme
1664-05-08	merveilles17_imp_pie-ballard2	date7	SECONDE IOVRNÉE
1664-05-08	merveilles17_imp_pie-ballard2	date8	TROISIESME IOVRNÉE
1664-05-10	merveilles17_imp_pie-ballard2	date9	Le Samedy dixiesme
1664-05-11	merveilles17_imp_pie-ballard2	date10	Le Dimanche
1664-05-12	merveilles17_imp_pie-ballard2	date11	Lundi douziesme
1664-05-13	merveilles17_imp_pie-ballard2	date12	Le Mardy treiziesme
1664-05-14	merveilles17_imp_pie-ballard2	date13	le Mercredy quatorziesme
1664	merveilles17_imp_pie-guignard1668	date3	M. DC. LXVIII
1664-05-05	merveilles17_imp_pie-guignard1668	date4	5. de May
1664-05-14	merveilles17_imp_pie-guignard1668	date5	14.
1664-05-07	merveilles17_imp_pie-guignard1668	date6	le septiéme
1664-05-08	merveilles17_imp_pie-guignard1668	date7	SECONDE IOVRNÉE
1664-05-09	merveilles17_imp_pie-guignard1668	date8	TROISIESME IOVRNÉE
1664-05-10	merveilles17_imp_pie-guignard1668	date9	Le Samedy dixiéme
1664-05-11	merveilles17_imp_pie-guignard1668	date10	Le Dimanche
1664-05-12	merveilles17_imp_pie-guignard1668	date11	le Lũdy douziéme
1664-05-13	merveilles17_imp_pie-guignard1668	date12	Le Mardy treiziéme
1664-05-14	merveilles17_imp_pie-guignard1668	date13	le Mercredy quatorziéme
1664-05-05	merveilles17_imp_pie-ir1673	date4	le cinquiéme de May
1664-05-14	merveilles17_imp_pie-ir1673	date5	quatorziéme
1664-05-07	merveilles17_imp_pie-ir1673	date6	le septiéme
1664-05-08	merveilles17_imp_pie-ir1673	date7	SECONDE JOURNÉE
1664-05-09	merveilles17_imp_pie-ir1673	date8	TROISIÉME JOURNÉE
1664-05-10	merveilles17_imp_pie-ir1673	date9	Samedy dixiéme
1664-05-11	merveilles17_imp_pie-ir1673	date10	Le Dimanche
1664-05-12	merveilles17_imp_pie-ir1673	date11	Lundy douziéme
1664-05-13	merveilles17_imp_pie-ir1673	date12	Le Mardy treiziéme
1664-05-14	merveilles17_imp_pie-ir1673	date13	le Mercredy quatorziéme
1664-01-10	merveilles17_ms_acflagrange_001	date4	jeudy 10 Janvier 1664
1664-01-29	merveilles17_ms_acflagrange_002	date4	Mardy 29me
1664-01-31	merveilles17_ms_acflagrange_002	date5	Jeudi 31me
1664-04-30	merveilles17_ms_acflagrange_002	date6	dernier de ce mois
1664-05-22	merveilles17_ms_acflagrange_002	date7	22me May
1664-05-06	merveilles17_ms_acflagrange_002	date8	6me de May
1664-07-21	merveilles17_ms_acflagrange_003	date4	Lundy 21 Juillet
1664-08-13	merveilles17_ms_acflagrange_003	date5	Mercredy 13 Aoust
1664-10-13	merveilles17_ms_acflagrange_004	date4	lundy 13 Octobre
1664-10-25	merveilles17_ms_acflagrange_004	date5	Vendredy 25me
1664	merveilles17_ms_ankk213_025	date4	l'année mil six cent soixante-quatre
1664-03-20	merveilles17_ms_anmcrs388	date4	xxe mars 1664
1664-03-20	merveilles17_ms_anmcrs388	date5	mil six cens soixante et quatre le vingtiesme jour de mars
1664	merveilles17_ms_ano12984_001	date4	1664
1664	merveilles17_ms_ano12984_001	date5	1664
1664-07-28	merveilles17_ms_bnfmsfr6143	date4	Le xxviii.e
1664-07-30	merveilles17_ms_bnfmsfr6143	date5	Le xxx.e
1664-07-31	merveilles17_ms_bnfmsfr6143	date6	Le xxxi.e
1664-08-03	merveilles17_ms_bnfmsfr6143	date7	Le dimanche iii.e
1664-08-04	merveilles17_ms_bnfmsfr6143	date8	Le lundy iiii.e
1664-08-05	merveilles17_ms_bnfmsfr6143	date9	Le mardy cinq.e
1664-05-06	merveilles17_ms_pie-bizincourt_001	date3	6 May 1664
1664-05-07	merveilles17_ms_pie-philidor	date4	7e May 1664
1664-05-07	merveilles17_ms_pie-philidor	date5	7e May 1664
1664-05-05	merveilles17_ms_pie-philidor	date6	5e de May
1664-05-14	merveilles17_ms_pie-philidor	date7	quatorzieme
1664-05-07	merveilles17_ms_pie-philidor	date8	le septiéme
1664-05-09	merveilles17_ms_pie-philidor	date9	
1664-05-10	merveilles17_ms_pie-philidor	date10	Samedy dixiéme
1664-05-11	merveilles17_ms_pie-philidor	date11	Le Dimanche
1664-05-12	merveilles17_ms_pie-philidor	date12	le Lundy douziéme
1664-05-13	merveilles17_ms_pie-philidor	date13	Mardy Treiziéme
1664-05-14	merveilles17_ms_pie-philidor	date14	le Mercredy quatorziéme
